episode,timesteps,reward,length
1,90.0,426.666377,90.0
2,180.0,426.160788,90.0
3,270.0,406.784484,90.0
4,360.0,413.964804,90.0
5,450.0,406.800025,90.0
6,540.0,423.64457,90.0
7,630.0,418.601357,90.0
8,720.0,423.45183,90.0
9,810.0,410.811153,90.0
10,900.0,424.768238,90.0
11,990.0,391.689789,90.0
12,1080.0,413.658899,90.0
13,1170.0,406.328632,90.0
14,1260.0,411.2343,90.0
15,1350.0,415.016146,90.0
16,1440.0,419.421438,90.0
17,1530.0,417.549468,90.0
18,1620.0,412.525729,90.0
19,1710.0,411.720088,90.0
20,1800.0,414.307014,90.0
21,1890.0,422.068291,90.0
22,1980.0,412.202678,90.0
23,2070.0,417.771625,90.0
24,2160.0,411.949962,90.0
25,2250.0,423.109578,90.0
26,2340.0,414.886883,90.0
27,2430.0,418.007961,90.0
28,2520.0,416.623666,90.0
29,2610.0,407.772006,90.0
30,2700.0,429.870413,90.0
31,2790.0,419.966083,90.0
32,2880.0,400.840958,90.0
33,2970.0,408.680767,90.0
34,3060.0,390.539696,90.0
35,3150.0,424.57485,90.0
36,3240.0,431.351818,90.0
37,3330.0,428.706355,90.0
38,3420.0,415.560289,90.0
39,3510.0,425.081838,90.0
40,3600.0,413.790461,90.0
41,3690.0,420.341722,90.0
42,3780.0,416.321527,90.0
43,3870.0,413.174999,90.0
44,3960.0,418.675779,90.0
45,4050.0,416.358925,90.0
46,4140.0,419.563384,90.0
47,4230.0,421.557962,90.0
48,4320.0,435.794311,90.0
49,4410.0,419.814225,90.0
50,4500.0,418.778951,90.0
51,4590.0,427.035523,90.0
52,4680.0,420.00134,90.0
53,4770.0,425.938785,90.0
54,4860.0,424.427527,90.0
55,4950.0,425.114882,90.0
56,5040.0,434.294788,90.0
57,5130.0,424.789953,90.0
58,5220.0,424.159641,90.0
59,5310.0,424.336498,90.0
60,5400.0,428.177979,90.0
61,5490.0,433.886333,90.0
62,5580.0,429.690499,90.0
63,5670.0,410.041769,90.0
64,5760.0,421.606098,90.0
65,5850.0,412.655643,90.0
66,5940.0,411.375707,90.0
67,6030.0,435.763494,90.0
68,6120.0,421.817637,90.0
69,6210.0,414.36064,90.0
70,6300.0,432.945833,90.0
71,6390.0,428.599758,90.0
72,6480.0,407.964377,90.0
73,6570.0,431.566116,90.0
74,6660.0,409.462185,90.0
75,6750.0,427.018644,90.0
76,6840.0,410.262344,90.0
77,6930.0,417.134275,90.0
78,7020.0,423.779563,90.0
79,7110.0,397.505163,90.0
80,7200.0,433.246277,90.0
81,7290.0,423.394001,90.0
82,7380.0,428.431216,90.0
83,7470.0,420.329557,90.0
84,7560.0,426.245029,90.0
85,7650.0,432.024594,90.0
86,7740.0,440.834935,90.0
87,7830.0,439.143382,90.0
88,7920.0,435.943512,90.0
89,8010.0,432.322834,90.0
90,8100.0,440.135704,90.0
91,8190.0,425.643811,90.0
92,8280.0,442.570106,90.0
93,8370.0,426.973948,90.0
94,8460.0,421.972216,90.0
95,8550.0,438.350318,90.0
96,8640.0,437.670805,90.0
97,8730.0,434.18603,90.0
98,8820.0,437.314968,90.0
99,8910.0,422.274935,90.0
100,9000.0,403.395582,90.0
101,9090.0,385.154079,90.0
102,9180.0,444.15221,90.0
103,9270.0,433.389544,90.0
104,9360.0,421.214625,90.0
105,9450.0,409.419005,90.0
106,9540.0,442.486864,90.0
107,9630.0,436.746771,90.0
108,9720.0,434.5712,90.0
109,9810.0,413.748045,90.0
110,9900.0,440.586616,90.0
111,9990.0,431.530321,90.0
112,10080.0,417.72749,90.0
113,10170.0,428.707192,90.0
114,10260.0,424.313516,90.0
115,10350.0,428.539708,90.0
116,10440.0,425.813646,90.0
117,10530.0,424.515508,90.0
118,10620.0,424.934343,90.0
119,10710.0,425.415648,90.0
120,10800.0,430.922854,90.0
121,10890.0,419.274309,90.0
122,10980.0,422.543413,90.0
123,11070.0,426.707124,90.0
124,11160.0,447.835943,90.0
125,11250.0,431.341673,90.0
126,11340.0,434.380994,90.0
127,11430.0,434.298045,90.0
128,11520.0,444.018871,90.0
129,11610.0,404.839904,90.0
130,11700.0,415.76684,90.0
131,11790.0,441.243222,90.0
132,11871.0,262.780465,81.0
133,11961.0,422.53149,90.0
134,12051.0,440.195451,90.0
135,12141.0,434.713731,90.0
136,12231.0,432.376547,90.0
137,12321.0,396.657796,90.0
138,12411.0,424.065405,90.0
139,12501.0,437.087699,90.0
140,12591.0,411.569806,90.0
141,12681.0,435.177918,90.0
142,12771.0,431.343798,90.0
143,12861.0,447.37813,90.0
144,12951.0,447.155364,90.0
145,13041.0,427.104146,90.0
146,13131.0,450.261043,90.0
147,13221.0,447.768514,90.0
148,13311.0,440.801576,90.0
149,13378.0,257.769805,67.0
150,13468.0,436.550636,90.0
151,13558.0,427.55377,90.0
152,13648.0,437.519051,90.0
153,13738.0,421.345515,90.0
154,13828.0,367.041866,90.0
155,13918.0,431.649912,90.0
156,14008.0,428.645418,90.0
157,14098.0,427.431835,90.0
158,14188.0,345.564396,90.0
159,14272.0,352.071784,84.0
160,14362.0,440.374049,90.0
161,14452.0,417.13761,90.0
162,14542.0,423.707407,90.0
163,14632.0,435.169906,90.0
164,14722.0,418.661074,90.0
165,14812.0,435.754852,90.0
166,14902.0,298.438241,90.0
167,14992.0,395.497574,90.0
168,15082.0,426.487531,90.0
169,15172.0,427.733934,90.0
170,15262.0,427.200612,90.0
171,15352.0,416.791021,90.0
172,15442.0,418.671622,90.0
173,15518.0,306.906636,76.0
174,15608.0,428.683131,90.0
175,15698.0,438.315923,90.0
176,15788.0,420.453468,90.0
177,15878.0,431.612964,90.0
178,15968.0,435.939719,90.0
179,16058.0,423.252819,90.0
180,16148.0,360.048961,90.0
181,16238.0,439.442247,90.0
182,16328.0,435.940932,90.0
183,16418.0,432.665629,90.0
184,16508.0,423.490582,90.0
185,16598.0,446.645535,90.0
186,16688.0,400.576202,90.0
187,16778.0,204.877708,90.0
188,16868.0,416.680889,90.0
189,16958.0,410.343247,90.0
190,17048.0,424.771529,90.0
191,17138.0,419.665878,90.0
192,17228.0,435.376818,90.0
193,17318.0,367.630084,90.0
194,17408.0,439.15721,90.0
195,17498.0,360.256707,90.0
196,17585.0,317.032514,87.0
197,17675.0,427.496765,90.0
198,17765.0,449.052706,90.0
199,17855.0,435.277455,90.0
200,17945.0,362.194184,90.0
201,18035.0,440.817564,90.0
202,18125.0,449.590253,90.0
203,18215.0,226.528452,90.0
204,18305.0,377.702937,90.0
205,18395.0,432.508842,90.0
206,18477.0,339.81568,82.0
207,18567.0,453.26382,90.0
208,18657.0,362.786506,90.0
209,18747.0,392.479156,90.0
210,18837.0,369.157402,90.0
211,18894.0,198.972335,57.0
212,18984.0,427.803244,90.0
213,19074.0,441.459352,90.0
214,19164.0,446.672595,90.0
215,19254.0,446.778798,90.0
216,19344.0,417.612879,90.0
217,19434.0,446.016247,90.0
218,19524.0,448.623953,90.0
219,19614.0,435.891195,90.0
220,19704.0,424.605103,90.0
221,19794.0,404.3895,90.0
222,19884.0,406.109756,90.0
223,19974.0,435.109687,90.0
224,20064.0,399.227155,90.0
225,20154.0,309.653276,90.0
226,20244.0,446.121712,90.0
227,20334.0,444.097959,90.0
228,20424.0,271.347764,90.0
229,20514.0,450.478212,90.0
230,20604.0,442.039765,90.0
231,20694.0,440.289524,90.0
232,20784.0,402.557127,90.0
233,20874.0,420.876437,90.0
234,20964.0,378.621374,90.0
235,21033.0,271.808071,69.0
236,21123.0,387.667378,90.0
237,21213.0,286.454036,90.0
238,21303.0,410.363708,90.0
239,21364.0,230.008496,61.0
240,21454.0,439.099111,90.0
241,21544.0,429.231067,90.0
242,21634.0,444.147021,90.0
243,21724.0,443.491524,90.0
244,21814.0,342.222259,90.0
245,21904.0,444.886887,90.0
246,21994.0,397.18876,90.0
247,22084.0,421.982028,90.0
248,22174.0,432.289408,90.0
249,22264.0,395.116524,90.0
250,22354.0,389.855436,90.0
251,22444.0,449.733593,90.0
252,22534.0,438.268232,90.0
253,22624.0,426.911765,90.0
254,22714.0,381.236172,90.0
255,22804.0,431.587108,90.0
256,22894.0,448.25097,90.0
257,22984.0,443.307065,90.0
258,23074.0,430.701836,90.0
259,23164.0,426.883449,90.0
260,23254.0,318.233162,90.0
261,23344.0,446.119354,90.0
262,23434.0,433.017586,90.0
263,23496.0,239.539978,62.0
264,23586.0,447.473269,90.0
265,23676.0,396.497889,90.0
266,23766.0,415.762243,90.0
267,23856.0,433.398695,90.0
268,23946.0,431.760504,90.0
269,24036.0,420.849738,90.0
270,24126.0,447.383526,90.0
271,24216.0,440.380572,90.0
272,24306.0,390.058583,90.0
273,24396.0,443.939191,90.0
274,24486.0,447.504211,90.0
275,24576.0,410.425251,90.0
276,24666.0,426.440501,90.0
277,24756.0,437.574748,90.0
278,24846.0,431.842411,90.0
279,24936.0,436.633108,90.0
