episode,timesteps,reward,length
1,90.0,423.633287,90.0
2,180.0,413.821622,90.0
3,270.0,381.139953,90.0
4,360.0,418.874391,90.0
5,450.0,419.656361,90.0
6,540.0,435.506225,90.0
7,630.0,411.176753,90.0
8,720.0,380.829832,90.0
9,810.0,414.959572,90.0
10,900.0,411.846919,90.0
11,990.0,417.845518,90.0
12,1080.0,415.640698,90.0
13,1170.0,403.70178,90.0
14,1260.0,410.183549,90.0
15,1350.0,424.682409,90.0
16,1440.0,426.404517,90.0
17,1530.0,392.220973,90.0
18,1620.0,425.933699,90.0
19,1710.0,424.859375,90.0
20,1800.0,426.36178,90.0
21,1890.0,423.248129,90.0
22,1980.0,416.19913,90.0
23,2070.0,427.416094,90.0
24,2160.0,415.642769,90.0
25,2250.0,430.599455,90.0
26,2340.0,422.685083,90.0
27,2430.0,427.970681,90.0
28,2520.0,436.634235,90.0
29,2610.0,409.119134,90.0
30,2700.0,435.728115,90.0
31,2790.0,379.519049,90.0
32,2880.0,410.923652,90.0
33,2970.0,421.41057,90.0
34,3060.0,297.288673,90.0
35,3150.0,429.109794,90.0
36,3240.0,416.821042,90.0
37,3330.0,419.823875,90.0
38,3420.0,413.356523,90.0
39,3510.0,393.294128,90.0
40,3600.0,429.259787,90.0
41,3690.0,416.357945,90.0
42,3780.0,303.055721,90.0
43,3870.0,375.464537,90.0
44,3960.0,372.239833,90.0
45,4033.0,288.224234,73.0
46,4123.0,431.829519,90.0
47,4213.0,409.143654,90.0
48,4303.0,436.411279,90.0
49,4350.0,169.250793,47.0
50,4440.0,427.374576,90.0
51,4530.0,347.453733,90.0
52,4620.0,341.769836,90.0
53,4710.0,434.626467,90.0
54,4779.0,232.360595,69.0
55,4858.0,307.625678,79.0
56,4948.0,441.011815,90.0
57,5038.0,437.809409,90.0
58,5111.0,208.835204,73.0
59,5201.0,434.936843,90.0
60,5245.0,147.043712,44.0
61,5335.0,401.848015,90.0
62,5425.0,437.749126,90.0
63,5515.0,416.994619,90.0
64,5605.0,435.299564,90.0
65,5678.0,293.324043,73.0
66,5768.0,410.791978,90.0
67,5858.0,384.674396,90.0
68,5905.0,164.089918,47.0
69,5982.0,278.219453,77.0
70,6072.0,428.536893,90.0
71,6162.0,437.505109,90.0
72,6252.0,356.090367,90.0
73,6342.0,425.928564,90.0
74,6432.0,335.919781,90.0
75,6519.0,302.627635,87.0
76,6546.0,83.304612,27.0
77,6636.0,324.095524,90.0
78,6726.0,404.258356,90.0
79,6788.0,252.834042,62.0
80,6833.0,162.443665,45.0
81,6923.0,421.414329,90.0
82,7013.0,433.411251,90.0
83,7103.0,443.558346,90.0
84,7135.0,102.584647,32.0
85,7225.0,426.162846,90.0
86,7315.0,426.583224,90.0
87,7405.0,425.630183,90.0
88,7495.0,450.847578,90.0
89,7571.0,281.476643,76.0
90,7606.0,107.665676,35.0
91,7643.0,127.107755,37.0
92,7733.0,426.171843,90.0
93,7779.0,162.309186,46.0
94,7869.0,425.683623,90.0
95,7959.0,451.303446,90.0
96,8049.0,427.656453,90.0
97,8139.0,413.830325,90.0
98,8229.0,394.535566,90.0
99,8319.0,409.987836,90.0
100,8409.0,442.807089,90.0
101,8499.0,403.457052,90.0
102,8589.0,449.298212,90.0
103,8679.0,417.902356,90.0
104,8769.0,429.997541,90.0
105,8859.0,442.453704,90.0
106,8949.0,445.372196,90.0
107,9039.0,449.141715,90.0
108,9129.0,440.042948,90.0
109,9219.0,436.268391,90.0
110,9309.0,438.607142,90.0
111,9399.0,433.285348,90.0
112,9489.0,425.362188,90.0
113,9579.0,432.725223,90.0
114,9669.0,446.953076,90.0
115,9759.0,428.453342,90.0
116,9849.0,438.110509,90.0
117,9939.0,393.935454,90.0
118,10029.0,424.670915,90.0
119,10119.0,374.28469,90.0
120,10209.0,421.204297,90.0
121,10299.0,442.723261,90.0
122,10389.0,438.517507,90.0
123,10479.0,439.188296,90.0
124,10569.0,431.757081,90.0
125,10659.0,441.163441,90.0
126,10749.0,437.669121,90.0
127,10839.0,436.43303,90.0
128,10929.0,385.928602,90.0
129,11019.0,450.089369,90.0
130,11109.0,440.590002,90.0
131,11199.0,425.569542,90.0
132,11289.0,442.188296,90.0
