timesteps,loss,entropy
300.0,5527.8681640625,2.3015308678150177
400.0,5527.8681640625,2.3015308678150177
500.0,5527.8681640625,2.3015308678150177
600.0,4975.1796875,2.297218898932139
700.0,4975.1796875,2.297218898932139
800.0,4917.6240234375,2.294694165388743
900.0,4917.6240234375,2.294694165388743
1000.0,4917.6240234375,2.294694165388743
1100.0,4839.00830078125,2.2926689883073172
1200.0,4839.00830078125,2.2926689883073172
1300.0,4435.5078125,2.290847877661387
1400.0,4435.5078125,2.290847877661387
1500.0,4435.5078125,2.290847877661387
1600.0,5218.64599609375,2.284972667694092
1700.0,5218.64599609375,2.284972667694092
1800.0,5122.6884765625,2.287305454413096
1900.0,5122.6884765625,2.287305454413096
2000.0,5122.6884765625,2.287305454413096
2100.0,5520.65771484375,2.2879907886187234
2200.0,5520.65771484375,2.2879907886187234
2300.0,5520.65771484375,2.2879907886187234
2400.0,4902.8212890625,2.2870784302552543
2500.0,4902.8212890625,2.2870784302552543
2600.0,3741.653564453125,2.288717339436213
2700.0,3741.653564453125,2.288717339436213
2800.0,3741.653564453125,2.288717339436213
2900.0,4354.02197265625,2.288651039203008
3000.0,4354.02197265625,2.288651039203008
3100.0,3900.974853515625,2.2887246211369834
3200.0,3900.974853515625,2.2887246211369834
3300.0,3900.974853515625,2.2887246211369834
3400.0,5422.19091796875,2.281867027282715
3500.0,5422.19091796875,2.281867027282715
3600.0,4380.66015625,2.273757666349411
3700.0,4380.66015625,2.273757666349411
3800.0,4380.66015625,2.273757666349411
3900.0,4308.6982421875,2.2739607890446982
4000.0,4308.6982421875,2.2739607890446982
4100.0,4492.986328125,2.2762517631053925
4200.0,4492.986328125,2.2762517631053925
4300.0,4492.986328125,2.2762517631053925
4400.0,4633.39013671875,2.278720806042353
4500.0,4633.39013671875,2.278720806042353
4600.0,4633.39013671875,2.278720806042353
4700.0,4847.34716796875,2.280646502971649
4800.0,4847.34716796875,2.280646502971649
4900.0,4252.6435546875,2.282813916603724
5000.0,4252.6435546875,2.282813916603724
5100.0,4252.6435546875,2.282813916603724
5200.0,4983.98095703125,2.281339079141617
5300.0,4983.98095703125,2.281339079141617
5400.0,4737.01123046875,2.28003583351771
5500.0,4737.01123046875,2.28003583351771
5600.0,4737.01123046875,2.28003583351771
5700.0,4938.56298828125,2.279735187689463
5800.0,4938.56298828125,2.279735187689463
5900.0,3803.7119140625,2.281776467959086
6000.0,3803.7119140625,2.281776467959086
6100.0,3803.7119140625,2.281776467959086
6200.0,3988.334716796875,2.2848478853702545
6300.0,3988.334716796875,2.2848478853702545
6400.0,3988.334716796875,2.2848478853702545
6500.0,5147.9638671875,2.282382925351461
6600.0,5147.9638671875,2.282382925351461
6700.0,5103.80224609375,2.27079909046491
6800.0,5103.80224609375,2.27079909046491
6900.0,5103.80224609375,2.27079909046491
7000.0,4789.9716796875,2.2584708531697593
7100.0,4789.9716796875,2.2584708531697593
7200.0,4956.5830078125,2.2518619100252786
7300.0,4956.5830078125,2.2518619100252786
7400.0,4956.5830078125,2.2518619100252786
7500.0,4585.90234375,2.240326186021169
7600.0,4585.90234375,2.240326186021169
7700.0,4303.1142578125,2.2230101823806763
7800.0,4303.1142578125,2.2230101823806763
7900.0,4303.1142578125,2.2230101823806763
8000.0,5031.60107421875,2.216832379500071
8100.0,5031.60107421875,2.216832379500071
8200.0,5612.15478515625,2.2030033667882285
8300.0,5612.15478515625,2.2030033667882285
8400.0,5612.15478515625,2.2030033667882285
8500.0,5752.34521484375,2.193188726902008
8600.0,5752.34521484375,2.193188726902008
8700.0,5752.34521484375,2.193188726902008
8800.0,4558.60986328125,2.1919901768366494
8900.0,4558.60986328125,2.1919901768366494
9000.0,4447.75537109375,2.2016098499298096
9100.0,4447.75537109375,2.2016098499298096
9200.0,4447.75537109375,2.2016098499298096
9300.0,4492.96923828125,2.207612613836924
9400.0,4492.96923828125,2.207612613836924
9500.0,4715.64599609375,2.2148829301198325
9600.0,4715.64599609375,2.2148829301198325
9700.0,4715.64599609375,2.2148829301198325
9800.0,4773.40185546875,2.202720214923223
9900.0,4773.40185546875,2.202720214923223
10000.0,4779.41357421875,2.1865397791067758
10100.0,4779.41357421875,2.1865397791067758
10200.0,4779.41357421875,2.1865397791067758
10300.0,4690.1806640625,2.16131991147995
10400.0,4690.1806640625,2.16131991147995
10500.0,4479.66552734375,2.154657950003942
10600.0,4479.66552734375,2.154657950003942
10700.0,4479.66552734375,2.154657950003942
10800.0,3580.677490234375,2.118569860855738
10900.0,3580.677490234375,2.118569860855738
11000.0,3580.677490234375,2.118569860855738
11100.0,4267.58935546875,2.135580370823542
11200.0,4267.58935546875,2.135580370823542
11300.0,4972.54736328125,2.130602369705836
11400.0,4972.54736328125,2.130602369705836
11500.0,4972.54736328125,2.130602369705836
11600.0,5627.841796875,2.1249115069707236
11700.0,5627.841796875,2.1249115069707236
11800.0,4490.55859375,2.1289809147516885
11900.0,4490.55859375,2.1289809147516885
12000.0,4490.55859375,2.1289809147516885
12100.0,3786.71484375,2.1347788671652475
12200.0,3786.71484375,2.1347788671652475
12300.0,4482.8193359375,2.1468376219272614
12400.0,4482.8193359375,2.1468376219272614
12500.0,4482.8193359375,2.1468376219272614
12600.0,4693.86083984375,2.1450429956118264
12700.0,4693.86083984375,2.1450429956118264
12800.0,4693.86083984375,2.1450429956118264
12900.0,4304.34619140625,2.1346392035484314
13000.0,4304.34619140625,2.1346392035484314
13100.0,4446.25537109375,2.111569066842397
13200.0,4446.25537109375,2.111569066842397
13300.0,4446.25537109375,2.111569066842397
13400.0,4334.86865234375,2.1139978071053824
13500.0,4334.86865234375,2.1139978071053824
13600.0,4582.3369140625,2.102688878774643
13700.0,4582.3369140625,2.102688878774643
13800.0,4582.3369140625,2.102688878774643
13900.0,4170.47607421875,2.115000049273173
14000.0,4170.47607421875,2.115000049273173
14100.0,3522.42041015625,2.142360180616379
14200.0,3522.42041015625,2.142360180616379
14300.0,3522.42041015625,2.142360180616379
14400.0,4340.8564453125,2.123588224252065
14500.0,4340.8564453125,2.123588224252065
14600.0,4034.194091796875,2.1063266893227897
14700.0,4034.194091796875,2.1063266893227897
14800.0,4034.194091796875,2.1063266893227897
14900.0,4254.61962890625,2.125739494959513
15000.0,4254.61962890625,2.125739494959513
15100.0,4254.61962890625,2.125739494959513
15200.0,4453.95458984375,2.1162266035874686
15300.0,4453.95458984375,2.1162266035874686
15400.0,3858.34619140625,2.109814465045929
15500.0,3858.34619140625,2.109814465045929
15600.0,3858.34619140625,2.109814465045929
15700.0,3870.80712890625,2.1447489857673645
15800.0,3870.80712890625,2.1447489857673645
15900.0,3635.8203125,2.1382261713345847
16000.0,3635.8203125,2.1382261713345847
16100.0,3635.8203125,2.1382261713345847
16200.0,4321.96337890625,2.1241479218006134
16300.0,4321.96337890625,2.1241479218006134
16400.0,4544.0078125,2.0839989880720773
16500.0,4544.0078125,2.0839989880720773
16600.0,4544.0078125,2.0839989880720773
16700.0,4747.853515625,2.037587414185206
16800.0,4747.853515625,2.037587414185206
16900.0,4758.2578125,1.989940921465556
17000.0,4758.2578125,1.989940921465556
17100.0,4758.2578125,1.989940921465556
17200.0,3801.5224609375,1.959988221526146
17300.0,3801.5224609375,1.959988221526146
17400.0,3801.5224609375,1.959988221526146
17500.0,4089.888427734375,1.9615586797396343
17600.0,4089.888427734375,1.9615586797396343
17700.0,4290.6591796875,1.92219145099322
17800.0,4290.6591796875,1.92219145099322
17900.0,4290.6591796875,1.92219145099322
18000.0,4623.830078125,1.8597132662932079
18100.0,4623.830078125,1.8597132662932079
18200.0,4525.578125,1.8634161700805028
18300.0,4525.578125,1.8634161700805028
18400.0,4525.578125,1.8634161700805028
18500.0,4482.43994140625,1.914542059103648
18600.0,4482.43994140625,1.914542059103648
18700.0,4148.52734375,1.9052108526229858
18800.0,4148.52734375,1.9052108526229858
18900.0,4148.52734375,1.9052108526229858
19000.0,3248.73779296875,1.9365080545345943
19100.0,3248.73779296875,1.9365080545345943
19200.0,3248.73779296875,1.9365080545345943
