timesteps,entropy,loss
90.0,2.299492120742798,
180.0,2.2984840869903564,
270.0,2.2996253967285156,
360.0,2.2988076210021973,
450.0,2.2990546226501465,
540.0,2.299107789993286,
630.0,2.299423933029175,
720.0,2.299482822418213,
810.0,2.299562454223633,
900.0,2.298844575881958,-0.006236228160560131
990.0,2.2998299598693848,
1080.0,2.2985925674438477,
1170.0,2.2997071743011475,
1260.0,2.298799753189087,
1350.0,2.2993507385253906,
1440.0,2.3002915382385254,
1530.0,2.299826145172119,
1620.0,2.2997891902923584,
1710.0,2.2997806072235107,
1800.0,2.299549102783203,-0.00928066112101078
1890.0,2.298640251159668,
1980.0,2.2992398738861084,
2070.0,2.2990024089813232,
2160.0,2.299786329269409,
2250.0,2.299762725830078,
2340.0,2.2977335453033447,
2430.0,2.2987427711486816,
2520.0,2.2990238666534424,
2610.0,2.2991833686828613,
2700.0,2.2994275093078613,-0.014922818168997765
2790.0,2.2979347705841064,
2880.0,2.299079656600952,
2970.0,2.299740791320801,
3060.0,2.299452781677246,
3150.0,2.2974257469177246,
3240.0,2.299514055252075,
3330.0,2.2979848384857178,
3420.0,2.297776222229004,
3510.0,2.3000941276550293,
3600.0,2.2987148761749268,-0.01625041291117668
3690.0,2.2963666915893555,
3780.0,2.295888662338257,
3870.0,2.298999309539795,
3960.0,2.296658992767334,
4050.0,2.296816110610962,
4140.0,2.2977919578552246,
4230.0,2.2985754013061523,
4320.0,2.298445224761963,
4410.0,2.296361207962036,
4500.0,2.29813814163208,-0.012991984374821186
4590.0,2.295494318008423,
4680.0,2.2950439453125,
4770.0,2.2976338863372803,
4860.0,2.2966599464416504,
4950.0,2.2970476150512695,
5040.0,2.2973763942718506,
5130.0,2.2954463958740234,
5220.0,2.295376777648926,
5310.0,2.295522451400757,
5400.0,2.297342538833618,-0.007237995974719524
5490.0,2.2941272258758545,
5580.0,2.2963874340057373,
5670.0,2.2961347103118896,
5760.0,2.2964463233947754,
5850.0,2.29691219329834,
5940.0,2.296281576156616,
6030.0,2.2953195571899414,
6120.0,2.2963900566101074,
6210.0,2.2951245307922363,
6300.0,2.2940306663513184,-0.01566649228334427
6390.0,2.296513557434082,
6480.0,2.296128988265991,
6570.0,2.2961955070495605,
6660.0,2.296109437942505,
6750.0,2.293870210647583,
6840.0,2.2962167263031006,
6930.0,2.2953546047210693,
7020.0,2.2957561016082764,
7110.0,2.2927498817443848,
7200.0,2.293808698654175,-0.008360977284610271
7290.0,2.2924904823303223,
7380.0,2.2956087589263916,
7470.0,2.292829751968384,
7560.0,2.292778968811035,
7650.0,2.295212507247925,
7740.0,2.2927119731903076,
