episode,timesteps,reward,length
1,90.0,419.998319,90.0
2,180.0,416.514865,90.0
3,270.0,407.105696,90.0
4,360.0,402.566857,90.0
5,450.0,383.201003,90.0
6,540.0,421.309204,90.0
7,630.0,417.775256,90.0
8,720.0,410.162644,90.0
9,810.0,403.86257,90.0
10,900.0,415.558436,90.0
11,990.0,374.738,90.0
12,1080.0,426.914681,90.0
13,1170.0,408.403819,90.0
14,1260.0,406.491832,90.0
15,1350.0,418.589426,90.0
16,1440.0,421.053179,90.0
17,1530.0,427.826671,90.0
18,1620.0,406.196845,90.0
19,1710.0,419.770187,90.0
20,1800.0,429.467957,90.0
21,1890.0,422.360062,90.0
22,1980.0,406.501344,90.0
23,2070.0,424.380059,90.0
24,2160.0,423.478179,90.0
25,2250.0,417.236935,90.0
26,2340.0,420.140025,90.0
27,2430.0,414.443819,90.0
28,2520.0,425.726366,90.0
29,2610.0,407.884069,90.0
30,2700.0,426.733887,90.0
31,2790.0,411.879866,90.0
32,2880.0,405.736569,90.0
33,2970.0,417.420092,90.0
34,3060.0,411.057211,90.0
35,3150.0,425.967034,90.0
36,3240.0,421.993329,90.0
37,3330.0,401.997069,90.0
38,3420.0,428.822678,90.0
39,3510.0,421.783659,90.0
40,3600.0,421.256414,90.0
41,3690.0,414.691097,90.0
42,3780.0,417.352016,90.0
43,3870.0,391.050673,90.0
44,3960.0,413.167954,90.0
45,4050.0,418.358469,90.0
46,4140.0,362.924612,90.0
47,4230.0,421.519798,90.0
48,4320.0,438.423374,90.0
49,4410.0,423.923174,90.0
50,4500.0,413.392415,90.0
51,4590.0,384.958098,90.0
52,4680.0,426.888001,90.0
53,4770.0,429.12378,90.0
54,4860.0,413.102744,90.0
55,4950.0,428.067158,90.0
56,5040.0,421.188613,90.0
57,5130.0,422.895825,90.0
58,5220.0,406.850798,90.0
59,5310.0,401.477586,90.0
60,5400.0,412.615834,90.0
61,5490.0,421.087248,90.0
62,5580.0,430.659685,90.0
63,5670.0,418.246701,90.0
64,5760.0,435.443873,90.0
65,5850.0,430.19983,90.0
66,5940.0,424.433808,90.0
67,6030.0,407.830069,90.0
68,6120.0,427.488623,90.0
69,6210.0,420.938613,90.0
70,6300.0,409.539931,90.0
71,6390.0,431.473003,90.0
72,6480.0,429.479632,90.0
73,6570.0,426.824766,90.0
74,6660.0,432.759294,90.0
75,6750.0,395.310081,90.0
76,6840.0,429.948058,90.0
77,6930.0,431.529748,90.0
78,7020.0,445.6757,90.0
79,7110.0,421.066143,90.0
80,7200.0,438.68275,90.0
81,7290.0,439.60262,90.0
82,7380.0,446.710244,90.0
83,7470.0,430.45042,90.0
84,7560.0,395.877807,90.0
85,7650.0,430.422394,90.0
86,7740.0,423.119522,90.0
87,7830.0,439.272886,90.0
88,7920.0,438.735656,90.0
89,8010.0,419.191854,90.0
90,8100.0,438.948551,90.0
91,8176.0,234.01085,76.0
92,8266.0,446.08724,90.0
93,8356.0,424.268211,90.0
94,8446.0,395.159009,90.0
95,8536.0,407.563237,90.0
