episode,timesteps,reward,length
1,90.0,417.695943,90.0
2,180.0,417.013442,90.0
3,270.0,381.240934,90.0
4,360.0,419.058594,90.0
5,450.0,403.229985,90.0
6,540.0,389.842618,90.0
7,630.0,420.67034,90.0
8,720.0,412.48658,90.0
9,810.0,413.407854,90.0
10,900.0,411.317981,90.0
11,990.0,411.810166,90.0
12,1080.0,417.387954,90.0
13,1170.0,397.876328,90.0
14,1260.0,406.658771,90.0
15,1350.0,428.366111,90.0
16,1440.0,415.835774,90.0
17,1530.0,417.827742,90.0
18,1620.0,425.147251,90.0
19,1710.0,427.437497,90.0
20,1800.0,425.012225,90.0
21,1890.0,427.971446,90.0
22,1980.0,429.431678,90.0
23,2070.0,415.75389,90.0
24,2160.0,418.088692,90.0
25,2250.0,432.137372,90.0
26,2340.0,412.929309,90.0
27,2430.0,423.611959,90.0
28,2520.0,427.383715,90.0
29,2610.0,427.792052,90.0
30,2700.0,420.774342,90.0
31,2790.0,426.059044,90.0
32,2880.0,392.25561,90.0
33,2970.0,426.958434,90.0
34,3060.0,422.310963,90.0
35,3150.0,419.170005,90.0
36,3240.0,421.479663,90.0
37,3330.0,430.608807,90.0
38,3420.0,428.839583,90.0
39,3510.0,430.01806,90.0
40,3600.0,375.933645,90.0
41,3690.0,386.905786,90.0
42,3780.0,425.825273,90.0
43,3870.0,433.781127,90.0
44,3960.0,436.686378,90.0
45,4050.0,440.06437,90.0
46,4140.0,434.449139,90.0
47,4230.0,432.618081,90.0
48,4320.0,352.348482,90.0
49,4410.0,422.482465,90.0
50,4500.0,432.962279,90.0
51,4590.0,439.060912,90.0
52,4680.0,425.072621,90.0
53,4770.0,388.997757,90.0
54,4860.0,417.244836,90.0
55,4950.0,423.894698,90.0
56,5011.0,206.051557,61.0
57,5101.0,435.823472,90.0
58,5191.0,429.352415,90.0
59,5281.0,432.828687,90.0
60,5371.0,427.331653,90.0
61,5461.0,422.565837,90.0
62,5551.0,360.342347,90.0
63,5615.0,223.805177,64.0
64,5705.0,424.531155,90.0
65,5795.0,428.54361,90.0
66,5885.0,406.419173,90.0
67,5975.0,443.304163,90.0
68,6065.0,432.286052,90.0
69,6155.0,418.928218,90.0
70,6245.0,446.136101,90.0
71,6335.0,425.752454,90.0
72,6416.0,307.070326,81.0
73,6506.0,352.51434,90.0
74,6559.0,200.249769,53.0
75,6642.0,295.765326,83.0
76,6732.0,321.423961,90.0
77,6822.0,380.036057,90.0
78,6912.0,438.204159,90.0
79,7002.0,387.753961,90.0
80,7092.0,390.26231,90.0
81,7182.0,421.906883,90.0
82,7248.0,240.771208,66.0
83,7338.0,420.835046,90.0
84,7428.0,381.544165,90.0
85,7518.0,403.94424,90.0
86,7561.0,127.64025,43.0
87,7651.0,439.617551,90.0
88,7741.0,432.853656,90.0
89,7831.0,434.852265,90.0
90,7921.0,346.103035,90.0
91,8011.0,426.99663,90.0
92,8051.0,140.321854,40.0
93,8141.0,379.135193,90.0
94,8231.0,319.431467,90.0
95,8266.0,117.641965,35.0
96,8356.0,432.765654,90.0
97,8446.0,421.04799,90.0
98,8536.0,444.059116,90.0
99,8626.0,426.241653,90.0
100,8716.0,361.867663,90.0
101,8806.0,426.687419,90.0
102,8896.0,384.7811,90.0
103,8986.0,444.368777,90.0
104,9041.0,209.345979,55.0
105,9131.0,416.364664,90.0
106,9221.0,450.120562,90.0
107,9311.0,441.284989,90.0
108,9401.0,433.701149,90.0
109,9491.0,411.817736,90.0
110,9581.0,414.31777,90.0
111,9671.0,435.441112,90.0
112,9761.0,439.840616,90.0
113,9851.0,423.349421,90.0
114,9941.0,439.20651,90.0
115,10031.0,430.595675,90.0
116,10121.0,349.875872,90.0
117,10211.0,436.831327,90.0
118,10301.0,443.332623,90.0
119,10391.0,430.706338,90.0
120,10481.0,411.379521,90.0
121,10558.0,305.650599,77.0
122,10648.0,411.176034,90.0
123,10738.0,403.454985,90.0
