run,learning_rate,gamma,hidden_size,entropy_coef,batch_episodes,mean_reward,std_reward,mean_episode_length,mean_unmet_ml,mean_energy_cost,failure_rate
1,0.0001,0.95,64,0.0,4,342.8808362300469,83.04664406961444,84.58333333333333,0.6691423964122571,22.58412592797089,0.25
2,0.0003,0.97,64,0.005,4,400.4295213632316,62.35525158666147,88.33333333333333,0.4288073159716128,27.156447161918432,0.16666666666666666
3,0.0005,0.99,64,0.01,8,249.08229566465488,119.78953739547956,62.166666666666664,0.81103532426097,14.011280132672837,0.75
4,0.001,0.99,128,0.01,8,316.1058346708758,18.57239252935226,88.33333333333333,0.30097685294429427,25.106401507704323,0.16666666666666666
5,5e-05,0.995,128,0.02,12,397.5007790142194,78.15679681464343,89.16666666666667,0.6648474083217999,27.258771795082748,0.16666666666666666
6,0.0002,0.9,32,0.0,4,346.2750069878143,29.1356120850741,89.16666666666667,0.34678780915298263,29.654306604366905,0.16666666666666666
7,0.0007,0.97,128,0.03,8,347.28164980173887,30.498841504069926,89.16666666666667,0.34678780915298263,30.098491437879236,0.16666666666666666
8,0.0001,0.999,256,0.015,12,231.20718631045665,116.67989676307684,58.0,0.6846739882187731,12.882080805541195,0.8333333333333334
9,0.0003,0.93,32,0.04,6,229.75249731829922,117.67456257007655,63.5,1.0587543826737444,14.303975666690944,0.75
10,0.0008,0.995,64,0.005,10,392.6901303826939,5.039000041227019,90.0,0.0,24.806427605660364,0.0
