timesteps,entropy
100.0,2.2762389183044434
200.0,2.044145345687866
300.0,2.2305424213409424
400.0,2.1904921531677246
500.0,2.1961941719055176
600.0,2.2637248039245605
700.0,2.271393060684204
800.0,2.251044988632202
900.0,2.256312131881714
1000.0,2.2403769493103027
1100.0,2.259706735610962
1200.0,2.284738779067993
1300.0,2.284296751022339
1400.0,2.293865919113159
1500.0,2.2881832122802734
1600.0,2.2948365211486816
1700.0,2.2903974056243896
1800.0,2.287292003631592
1900.0,2.293412685394287
2000.0,2.2825891971588135
2100.0,2.2876319885253906
2200.0,2.2124860286712646
2300.0,2.202648162841797
2400.0,2.2785701751708984
2500.0,2.2297613620758057
2600.0,2.2332825660705566
2700.0,2.2381038665771484
2800.0,2.2153005599975586
2900.0,2.0813651084899902
3000.0,2.2406105995178223
3100.0,2.1916630268096924
3200.0,2.293829917907715
3300.0,2.249655246734619
3400.0,2.278658628463745
3500.0,2.2982916831970215
3600.0,2.2610244750976562
3700.0,2.2986655235290527
3800.0,2.293546676635742
3900.0,2.2951455116271973
4000.0,2.299389600753784
4100.0,2.2944211959838867
4200.0,2.2748544216156006
4300.0,2.282090425491333
4400.0,2.2656192779541016
4500.0,2.2710390090942383
4600.0,2.2563693523406982
4700.0,2.279287815093994
4800.0,2.0218989849090576
4900.0,2.127558946609497
5000.0,2.1428914070129395
5100.0,2.203373670578003
5200.0,2.264469861984253
5300.0,2.240199565887451
5400.0,2.2955005168914795
5500.0,2.2476954460144043
5600.0,2.2125062942504883
5700.0,2.201335906982422
5800.0,2.2077767848968506
5900.0,2.286580801010132
6000.0,2.2795119285583496
6100.0,2.245304584503174
6200.0,2.2846996784210205
6300.0,2.248896598815918
6400.0,2.275561809539795
6500.0,2.2471396923065186
6600.0,2.287222385406494
6700.0,2.286170721054077
6800.0,2.279691696166992
6900.0,2.2938733100891113
7000.0,2.2780747413635254
7100.0,2.2756881713867188
7200.0,2.2533373832702637
7300.0,2.2979254722595215
7400.0,2.296313762664795
7500.0,2.2846837043762207
7600.0,2.295746088027954
7700.0,2.2977147102355957
7800.0,2.278364658355713
7900.0,2.2730557918548584
8000.0,2.2363009452819824
8100.0,2.2691612243652344
8200.0,2.2752528190612793
8300.0,2.2921175956726074
8400.0,2.2635884284973145
8500.0,2.2534823417663574
8600.0,2.1146275997161865
8700.0,2.094357967376709
8800.0,2.1223151683807373
8900.0,2.2662973403930664
9000.0,2.1702895164489746
9100.0,2.1318044662475586
9200.0,2.210475206375122
9300.0,2.245868682861328
9400.0,2.0726778507232666
9500.0,2.155057191848755
9600.0,2.016852617263794
9700.0,2.143207550048828
9800.0,2.1865012645721436
9900.0,2.267369508743286
10000.0,2.196540355682373
10100.0,2.1684794425964355
10200.0,2.0990233421325684
10300.0,2.126796245574951
10400.0,2.010366678237915
10500.0,2.1738088130950928
10600.0,2.1318392753601074
10700.0,2.12056303024292
10800.0,2.1986916065216064
10900.0,2.1932480335235596
11000.0,2.1575849056243896
11100.0,2.280273914337158
11200.0,2.1494569778442383
11300.0,2.2024660110473633
11400.0,2.274301052093506
11500.0,2.203423261642456
11600.0,2.2775471210479736
11700.0,2.280022621154785
11800.0,2.265766143798828
11900.0,2.2259974479675293
12000.0,2.2648892402648926
12100.0,2.275636911392212
12200.0,2.1729729175567627
12300.0,2.1533029079437256
12400.0,2.2430291175842285
12500.0,2.2152249813079834
12600.0,2.2146754264831543
12700.0,2.2653555870056152
12800.0,2.2271616458892822
12900.0,2.2143969535827637
13000.0,2.0753912925720215
13100.0,2.0342037677764893
13200.0,2.0879619121551514
13300.0,2.202989101409912
13400.0,2.1214241981506348
13500.0,2.1178395748138428
13600.0,2.152775287628174
13700.0,2.21856427192688
13800.0,2.1251208782196045
13900.0,2.0980639457702637
14000.0,2.0609471797943115
14100.0,2.0329859256744385
14200.0,2.196864128112793
14300.0,2.071108341217041
14400.0,2.138258934020996
14500.0,1.4091708660125732
14600.0,1.3532055616378784
14700.0,1.4122493267059326
14800.0,1.33665132522583
14900.0,1.453495740890503
15000.0,1.2370188236236572
15100.0,2.0561814308166504
15200.0,1.7866662740707397
15300.0,1.4084091186523438
15400.0,0.9026935696601868
15500.0,0.3900533616542816
15600.0,0.3548634946346283
15700.0,0.5260285139083862
15800.0,0.34038183093070984
15900.0,0.3525751829147339
16000.0,0.6740111708641052
16100.0,0.7700254917144775
16200.0,0.9253854751586914
16300.0,0.6331944465637207
16400.0,0.6624442338943481
16500.0,0.6277676820755005
16600.0,0.6640058755874634
16700.0,0.7313168048858643
16800.0,0.5677626729011536
16900.0,0.5701884031295776
17000.0,0.7991770505905151
17100.0,1.1388168334960938
17200.0,1.2999966144561768
17300.0,0.9537304639816284
17400.0,0.8547083139419556
17500.0,0.6723530292510986
17600.0,1.1647568941116333
17700.0,1.02298104763031
17800.0,1.3974854946136475
17900.0,1.2559564113616943
18000.0,1.3973973989486694
18100.0,1.7065693140029907
18200.0,2.1259512901306152
18300.0,2.0848565101623535
18400.0,1.9505844116210938
18500.0,1.6531345844268799
18600.0,1.8051084280014038
18700.0,2.2161967754364014
18800.0,2.0146937370300293
18900.0,2.1445116996765137
19000.0,1.7791544198989868
19100.0,1.8161275386810303
19200.0,1.9263410568237305
19300.0,2.176318407058716
19400.0,2.133471965789795
