episode,timesteps,reward,length
1,90.0,419.315973,90.0
2,180.0,429.15618,90.0
3,270.0,394.13441,90.0
4,360.0,414.155533,90.0
5,450.0,402.374726,90.0
6,540.0,418.008182,90.0
7,630.0,428.489824,90.0
8,720.0,408.082343,90.0
9,810.0,408.290336,90.0
10,900.0,405.846097,90.0
11,990.0,409.883873,90.0
12,1080.0,403.036013,90.0
13,1170.0,371.854969,90.0
14,1260.0,411.599646,90.0
15,1350.0,412.383255,90.0
16,1440.0,424.422043,90.0
17,1530.0,399.279988,90.0
18,1620.0,407.470377,90.0
19,1710.0,405.530278,90.0
20,1800.0,402.801738,90.0
21,1890.0,406.394383,90.0
22,1980.0,418.428915,90.0
23,2070.0,394.558365,90.0
24,2160.0,424.011266,90.0
25,2250.0,411.127977,90.0
26,2340.0,412.406908,90.0
27,2430.0,405.426176,90.0
28,2520.0,397.470117,90.0
29,2610.0,405.703641,90.0
30,2700.0,389.988874,90.0
31,2790.0,402.409265,90.0
32,2880.0,386.046878,90.0
33,2970.0,393.888561,90.0
34,3060.0,413.714179,90.0
35,3150.0,408.848462,90.0
36,3240.0,411.311647,90.0
37,3330.0,415.308271,90.0
38,3420.0,413.061534,90.0
39,3510.0,425.316848,90.0
40,3600.0,388.207225,90.0
41,3690.0,411.861799,90.0
42,3780.0,407.052275,90.0
43,3870.0,419.55266,90.0
44,3960.0,423.649439,90.0
45,4050.0,425.226815,90.0
46,4140.0,421.266363,90.0
47,4230.0,402.449529,90.0
48,4320.0,402.178269,90.0
49,4410.0,411.784595,90.0
50,4500.0,408.088551,90.0
51,4590.0,398.559351,90.0
52,4680.0,408.830348,90.0
53,4770.0,397.877835,90.0
54,4860.0,397.363575,90.0
55,4950.0,391.11668,90.0
56,5040.0,417.756123,90.0
57,5130.0,407.828206,90.0
58,5220.0,409.673362,90.0
59,5310.0,414.611393,90.0
60,5400.0,415.675954,90.0
61,5490.0,347.393413,90.0
62,5580.0,397.156399,90.0
63,5670.0,392.431417,90.0
64,5760.0,393.086346,90.0
65,5850.0,402.093327,90.0
66,5940.0,411.903485,90.0
67,6030.0,398.059627,90.0
68,6120.0,419.015558,90.0
69,6210.0,413.911957,90.0
70,6300.0,408.038907,90.0
71,6390.0,424.617258,90.0
72,6480.0,418.176494,90.0
73,6570.0,400.910269,90.0
74,6660.0,399.407852,90.0
75,6750.0,405.324856,90.0
76,6840.0,385.104868,90.0
77,6930.0,409.379333,90.0
78,7020.0,403.144783,90.0
79,7110.0,393.954374,90.0
80,7200.0,409.29143,90.0
81,7290.0,405.363589,90.0
82,7380.0,411.165325,90.0
83,7470.0,402.780383,90.0
84,7560.0,403.078366,90.0
85,7650.0,413.807345,90.0
86,7740.0,393.00897,90.0
87,7830.0,422.215466,90.0
88,7920.0,408.373469,90.0
89,8010.0,389.901562,90.0
90,8100.0,421.044977,90.0
91,8190.0,406.02065,90.0
92,8280.0,393.381303,90.0
93,8370.0,409.518754,90.0
94,8460.0,385.760708,90.0
95,8550.0,403.07316,90.0
96,8640.0,409.432323,90.0
97,8730.0,417.868938,90.0
98,8820.0,410.369321,90.0
99,8910.0,397.812839,90.0
100,9000.0,391.805472,90.0
101,9090.0,394.771702,90.0
102,9180.0,404.088407,90.0
103,9270.0,406.129362,90.0
104,9360.0,358.855078,90.0
105,9450.0,413.167133,90.0
106,9540.0,376.259601,90.0
107,9630.0,398.789497,90.0
108,9720.0,397.712034,90.0
109,9810.0,400.834467,90.0
110,9900.0,379.27814,90.0
111,9990.0,363.580111,90.0
112,10080.0,386.656779,90.0
113,10170.0,391.794906,90.0
114,10260.0,402.428922,90.0
115,10350.0,401.950981,90.0
116,10440.0,389.307877,90.0
117,10530.0,401.988439,90.0
118,10620.0,411.877073,90.0
119,10710.0,410.456892,90.0
120,10800.0,410.649765,90.0
121,10890.0,363.621491,90.0
122,10980.0,384.061446,90.0
123,11070.0,400.026946,90.0
124,11160.0,385.805244,90.0
125,11250.0,420.251541,90.0
126,11340.0,407.356294,90.0
127,11430.0,420.487366,90.0
128,11520.0,421.177375,90.0
129,11610.0,396.230169,90.0
130,11700.0,421.387836,90.0
131,11790.0,423.588275,90.0
132,11880.0,401.674438,90.0
133,11970.0,416.143481,90.0
134,12060.0,400.179921,90.0
135,12150.0,397.155277,90.0
136,12240.0,375.371409,90.0
137,12330.0,408.063581,90.0
138,12420.0,402.834654,90.0
139,12510.0,407.384633,90.0
140,12600.0,382.759625,90.0
141,12690.0,420.543526,90.0
142,12780.0,412.35448,90.0
143,12870.0,413.595283,90.0
144,12960.0,424.637401,90.0
145,13050.0,410.460255,90.0
146,13140.0,403.880168,90.0
147,13230.0,421.120564,90.0
148,13320.0,408.881738,90.0
149,13410.0,426.207764,90.0
150,13500.0,441.145235,90.0
151,13590.0,413.196029,90.0
152,13680.0,416.886928,90.0
153,13770.0,421.025764,90.0
154,13860.0,431.570701,90.0
155,13950.0,431.078563,90.0
156,14040.0,423.930716,90.0
157,14130.0,432.244633,90.0
158,14220.0,421.266083,90.0
159,14310.0,428.319464,90.0
160,14400.0,433.213757,90.0
161,14490.0,442.974751,90.0
162,14580.0,442.622856,90.0
163,14670.0,446.732007,90.0
164,14760.0,444.396388,90.0
165,14850.0,439.720638,90.0
166,14940.0,430.217253,90.0
167,15030.0,436.320604,90.0
168,15120.0,415.829762,90.0
169,15210.0,417.377967,90.0
170,15300.0,394.077868,90.0
171,15390.0,334.666109,90.0
172,15480.0,240.441442,90.0
173,15570.0,391.531381,90.0
174,15660.0,433.523616,90.0
175,15750.0,298.951425,90.0
176,15840.0,411.882311,90.0
177,15930.0,437.466241,90.0
178,16020.0,293.641066,90.0
179,16110.0,430.335377,90.0
180,16200.0,389.607753,90.0
181,16290.0,426.593508,90.0
182,16380.0,423.800506,90.0
183,16467.0,359.032158,87.0
184,16557.0,428.390927,90.0
185,16647.0,385.499877,90.0
186,16737.0,411.767091,90.0
187,16819.0,282.235964,82.0
188,16909.0,430.504587,90.0
189,16999.0,391.435836,90.0
190,17089.0,400.721965,90.0
191,17179.0,429.337644,90.0
192,17269.0,391.739929,90.0
193,17359.0,426.119747,90.0
194,17449.0,345.193218,90.0
195,17539.0,445.72049,90.0
196,17629.0,416.902124,90.0
197,17719.0,445.106336,90.0
198,17809.0,444.331434,90.0
199,17899.0,447.868286,90.0
200,17989.0,443.113828,90.0
201,18079.0,441.505593,90.0
202,18169.0,441.231155,90.0
203,18259.0,414.412478,90.0
204,18349.0,432.618646,90.0
205,18439.0,419.221183,90.0
206,18529.0,441.44464,90.0
207,18619.0,432.435963,90.0
208,18709.0,416.622834,90.0
209,18799.0,419.255872,90.0
210,18889.0,430.448128,90.0
211,18979.0,418.158953,90.0
212,19069.0,440.148429,90.0
213,19159.0,437.159092,90.0
214,19249.0,426.836449,90.0
215,19339.0,425.418472,90.0
216,19429.0,401.227177,90.0
217,19519.0,414.510863,90.0
218,19609.0,421.598111,90.0
219,19699.0,410.111655,90.0
220,19789.0,373.186631,90.0
221,19879.0,396.679755,90.0
222,19969.0,413.528591,90.0
223,20059.0,415.700134,90.0
224,20149.0,409.985978,90.0
225,20239.0,420.964159,90.0
226,20329.0,414.455279,90.0
