timesteps,entropy,loss
90.0,2.297497272491455,
180.0,2.297379970550537,
270.0,2.2950141429901123,
360.0,2.297119617462158,
450.0,2.295419216156006,
540.0,2.297342300415039,-0.08506131172180176
630.0,2.2971320152282715,
720.0,2.2969841957092285,
810.0,2.2966909408569336,
900.0,2.297091007232666,
990.0,2.2954695224761963,
1080.0,2.297348737716675,-0.09318551421165466
1170.0,2.2955281734466553,
1260.0,2.2975878715515137,
1350.0,2.295321226119995,
1440.0,2.2970898151397705,
1530.0,2.297380208969116,
1620.0,2.2973921298980713,-0.08926868438720703
1710.0,2.2973859310150146,
1800.0,2.2971434593200684,
1890.0,2.2970287799835205,
1980.0,2.2958948612213135,
2070.0,2.2974252700805664,
2160.0,2.296288251876831,-0.09640836715698242
2250.0,2.297321081161499,
2340.0,2.2973344326019287,
2430.0,2.2955613136291504,
2520.0,2.295623779296875,
2610.0,2.2958669662475586,
2700.0,2.296311140060425,-0.0874120369553566
2790.0,2.2967183589935303,
2880.0,2.295363426208496,
2970.0,2.2975573539733887,
3060.0,2.2976913452148438,
3150.0,2.2972445487976074,
3240.0,2.295403480529785,-0.0857991874217987
3330.0,2.297764778137207,
3420.0,2.297006607055664,
3510.0,2.296133041381836,
3600.0,2.2977559566497803,
3690.0,2.2974886894226074,
3780.0,2.2957468032836914,-0.08726199716329575
3870.0,2.29642915725708,
3960.0,2.2978084087371826,
4050.0,2.295689105987549,
4140.0,2.295642614364624,
4230.0,2.296302556991577,
4320.0,2.2975239753723145,-0.09147917479276657
4410.0,2.297968626022339,
4500.0,2.2973806858062744,
4590.0,2.2972466945648193,
4680.0,2.296464681625366,
4770.0,2.2973270416259766,
4860.0,2.2979917526245117,-0.09204765409231186
4950.0,2.2963931560516357,
5040.0,2.2980549335479736,
5130.0,2.2977468967437744,
5220.0,2.297536611557007,
5310.0,2.296936273574829,
5400.0,2.296618938446045,-0.09149361401796341
5490.0,2.2971765995025635,
5580.0,2.2963063716888428,
5670.0,2.2979347705841064,
5760.0,2.298109531402588,
5850.0,2.2966625690460205,
5940.0,2.2971127033233643,-0.09607169032096863
6030.0,2.2979512214660645,
6120.0,2.2968313694000244,
6210.0,2.298017740249634,
6300.0,2.2977631092071533,
6390.0,2.296520471572876,
6480.0,2.297828197479248,-0.09215939790010452
6570.0,2.2972161769866943,
6660.0,2.2972941398620605,
6750.0,2.2969791889190674,
6840.0,2.2959961891174316,
