timesteps,loss
600.0,3.794569253921509
700.0,1.455156683921814
800.0,0.08352883905172348
900.0,0.05494482070207596
1000.0,0.05948948487639427
1100.0,0.27684152126312256
1200.0,0.08658291399478912
1300.0,0.10194193571805954
1400.0,0.056780390441417694
1500.0,0.0701126977801323
1600.0,0.4510240852832794
1700.0,0.09381292015314102
1800.0,0.11771127581596375
1900.0,0.06460742652416229
2000.0,0.0790724903345108
2100.0,0.616745114326477
2200.0,0.19303429126739502
2300.0,0.10542162507772446
2400.0,0.13087224960327148
2500.0,0.11142490804195404
2600.0,0.5783166289329529
2700.0,0.17214037477970123
2800.0,0.17867064476013184
2900.0,0.1718529611825943
3000.0,0.13628514111042023
3100.0,0.5699076056480408
3200.0,0.2250811606645584
3300.0,0.20471376180648804
3400.0,0.18822455406188965
3500.0,0.1889573335647583
3600.0,0.5625680685043335
3700.0,0.3079824149608612
3800.0,0.24684390425682068
3900.0,0.2081887573003769
4000.0,0.19524726271629333
4100.0,0.3426983654499054
4200.0,0.21358175575733185
4300.0,0.2777957618236542
4400.0,0.25408947467803955
4500.0,0.2539062201976776
4600.0,0.29156938195228577
4700.0,0.29978489875793457
4800.0,0.29287803173065186
4900.0,0.21391160786151886
5000.0,0.2354898750782013
5100.0,0.34001365303993225
5200.0,0.283674031496048
5300.0,0.2733827829360962
5400.0,0.2905738353729248
5500.0,0.2659660577774048
5600.0,0.3176376223564148
5700.0,0.28439632058143616
5800.0,0.2995780110359192
5900.0,0.32163405418395996
6000.0,0.23114076256752014
6100.0,0.43494129180908203
6200.0,0.3319290280342102
6300.0,0.2940584719181061
6400.0,0.3212336301803589
6500.0,0.35936594009399414
6600.0,0.4424859583377838
6700.0,0.34958386421203613
6800.0,0.34099364280700684
6900.0,0.3635183870792389
7000.0,0.3131648898124695
7100.0,0.33124011754989624
7200.0,0.29428112506866455
7300.0,0.31459322571754456
7400.0,0.2365833967924118
7500.0,0.32272887229919434
7600.0,0.4788993000984192
7700.0,0.31159883737564087
7800.0,0.3064916729927063
7900.0,0.3142244517803192
8000.0,0.2797510027885437
8100.0,0.44643640518188477
8200.0,0.26145797967910767
8300.0,0.304191529750824
8400.0,0.2981685996055603
8500.0,0.25765836238861084
8600.0,0.5395163893699646
8700.0,0.4115715026855469
8800.0,0.2947244346141815
8900.0,0.34129685163497925
9000.0,0.8129105567932129
9100.0,0.4886932075023651
9200.0,0.23321950435638428
9300.0,0.24613067507743835
9400.0,0.28841081261634827
9500.0,0.33161115646362305
9600.0,0.6495215892791748
9700.0,0.34626075625419617
9800.0,0.3467003107070923
9900.0,0.27547141909599304
10000.0,0.2535257041454315
10100.0,0.3373411297798157
10200.0,0.2867931127548218
10300.0,0.2578935921192169
10400.0,0.28809654712677
10500.0,0.32094061374664307
10600.0,0.6510854959487915
10700.0,0.24711103737354279
10800.0,0.23299604654312134
10900.0,0.2725216746330261
11000.0,0.2766329050064087
11100.0,0.7064650654792786
11200.0,0.25134122371673584
11300.0,0.2680067718029022
11400.0,0.2611626982688904
11500.0,0.2751981019973755
11600.0,0.3597407341003418
11700.0,0.22460399568080902
11800.0,0.3130059838294983
11900.0,0.2655734121799469
12000.0,0.21672049164772034
12100.0,0.4139414131641388
12200.0,0.23007267713546753
12300.0,0.1691979020833969
12400.0,0.18823690712451935
12500.0,0.1906690001487732
12600.0,0.5658038854598999
12700.0,0.2867550551891327
12800.0,0.24421320855617523
12900.0,0.21498095989227295
13000.0,0.18581561744213104
13100.0,0.26741302013397217
13200.0,0.20881259441375732
13300.0,0.28158384561538696
13400.0,0.25881779193878174
13500.0,0.1640540361404419
13600.0,0.20267492532730103
13700.0,0.2287168651819229
13800.0,0.20168690383434296
13900.0,0.19383734464645386
14000.0,0.18185582756996155
14100.0,0.3452322483062744
14200.0,0.1519753336906433
14300.0,0.15930292010307312
14400.0,0.17522670328617096
14500.0,0.1967412531375885
14600.0,0.17934495210647583
14700.0,1.0148507356643677
14800.0,0.15091587603092194
14900.0,0.16099146008491516
15000.0,0.2068709135055542
15100.0,0.20052668452262878
15200.0,0.17393560707569122
15300.0,0.1757681518793106
15400.0,0.19663240015506744
15500.0,0.31471574306488037
15600.0,0.12544551491737366
15700.0,0.15774855017662048
15800.0,0.12484723329544067
15900.0,0.16129378974437714
16000.0,0.1728893518447876
16100.0,0.39600837230682373
16200.0,0.16094237565994263
16300.0,0.2133239358663559
16400.0,0.20051845908164978
16500.0,0.2589867115020752
16600.0,0.35651615262031555
16700.0,0.1511094719171524
16800.0,0.1390525847673416
16900.0,0.2055903673171997
17000.0,0.3008118271827698
17100.0,1.2464263439178467
17200.0,0.24423661828041077
17300.0,1.0651202201843262
17400.0,0.16011832654476166
17500.0,0.12052436172962189
17600.0,0.22069963812828064
17700.0,0.2051721215248108
17800.0,0.23408259451389313
17900.0,0.15588444471359253
18000.0,0.17248570919036865
18100.0,0.18891939520835876
18200.0,0.17398719489574432
18300.0,0.13752980530261993
18400.0,0.2811451256275177
18500.0,0.12893803417682648
18600.0,0.22600612044334412
18700.0,1.277369499206543
18800.0,0.1734848916530609
18900.0,0.24568113684654236
19000.0,0.10308241099119186
19100.0,0.24102908372879028
19200.0,0.21774211525917053
19300.0,0.15386556088924408
19400.0,0.21863293647766113
19500.0,0.15192033350467682
19600.0,0.18718880414962769
19700.0,0.19472312927246094
19800.0,0.23219045996665955
19900.0,0.16525250673294067
20000.0,0.2985621392726898
20100.0,0.3574388027191162
20200.0,0.17408467829227448
20300.0,0.1604146957397461
20400.0,0.23461215198040009
20500.0,0.13962814211845398
20600.0,0.3093712627887726
20700.0,0.2048218995332718
20800.0,0.21091139316558838
20900.0,0.24566315114498138
21000.0,0.18968495726585388
21100.0,0.3291620910167694
21200.0,0.1785527765750885
21300.0,0.15293051302433014
21400.0,0.16863679885864258
21500.0,0.10173512250185013
21600.0,0.3835175037384033
21700.0,0.3022784888744354
21800.0,0.2676963806152344
21900.0,0.18452517688274384
22000.0,0.22035294771194458
22100.0,0.15988263487815857
22200.0,0.20113053917884827
22300.0,0.14083601534366608
22400.0,0.12207268923521042
