episode,timesteps,reward,length
1,90.0,405.40359,90.0
2,180.0,411.378979,90.0
3,270.0,416.181991,90.0
4,360.0,407.145378,90.0
5,450.0,419.624854,90.0
6,540.0,417.832542,90.0
7,630.0,421.30591,90.0
8,720.0,413.645653,90.0
9,810.0,416.69494,90.0
10,900.0,415.675435,90.0
11,990.0,410.42661,90.0
12,1080.0,424.763136,90.0
13,1170.0,412.163668,90.0
14,1260.0,404.618717,90.0
15,1350.0,406.39942,90.0
16,1440.0,419.439139,90.0
17,1530.0,407.557062,90.0
18,1620.0,402.432349,90.0
19,1710.0,408.299487,90.0
20,1800.0,429.612972,90.0
21,1890.0,431.43934,90.0
22,1980.0,419.37783,90.0
23,2070.0,416.960549,90.0
24,2160.0,427.663753,90.0
25,2250.0,413.009134,90.0
26,2340.0,428.797712,90.0
27,2430.0,418.322466,90.0
28,2520.0,405.910358,90.0
29,2610.0,411.241767,90.0
30,2700.0,413.845446,90.0
31,2790.0,426.368901,90.0
32,2880.0,414.227151,90.0
33,2970.0,411.074647,90.0
34,3060.0,410.600703,90.0
35,3150.0,411.5326,90.0
36,3240.0,419.877075,90.0
37,3330.0,420.842817,90.0
38,3420.0,414.520664,90.0
39,3510.0,429.767438,90.0
40,3600.0,420.633325,90.0
41,3690.0,415.204165,90.0
42,3780.0,423.086505,90.0
43,3870.0,399.368247,90.0
44,3960.0,414.374776,90.0
45,4050.0,414.588803,90.0
46,4140.0,414.37116,90.0
47,4230.0,419.175263,90.0
48,4320.0,423.829394,90.0
49,4410.0,417.780438,90.0
50,4500.0,423.468936,90.0
51,4590.0,419.447395,90.0
52,4680.0,420.173569,90.0
53,4770.0,403.598622,90.0
54,4860.0,398.568904,90.0
55,4950.0,406.689102,90.0
56,5040.0,426.618515,90.0
57,5130.0,411.523661,90.0
58,5220.0,417.557378,90.0
59,5310.0,429.775712,90.0
60,5400.0,407.591429,90.0
61,5490.0,413.223061,90.0
62,5580.0,414.636155,90.0
63,5670.0,413.982571,90.0
64,5760.0,427.867472,90.0
65,5850.0,425.119566,90.0
66,5940.0,431.248142,90.0
67,6030.0,411.04519,90.0
68,6120.0,429.263209,90.0
69,6210.0,431.283648,90.0
70,6300.0,417.748539,90.0
71,6390.0,430.546658,90.0
72,6480.0,425.479568,90.0
73,6570.0,422.388224,90.0
74,6660.0,435.239335,90.0
75,6750.0,429.640374,90.0
76,6840.0,433.672085,90.0
77,6930.0,425.739141,90.0
78,7020.0,425.616063,90.0
79,7110.0,422.542297,90.0
80,7200.0,427.954332,90.0
81,7290.0,414.638257,90.0
82,7380.0,409.785708,90.0
83,7470.0,435.350281,90.0
84,7560.0,428.9115,90.0
85,7650.0,435.49269,90.0
86,7740.0,416.715949,90.0
87,7830.0,432.041095,90.0
88,7920.0,441.049244,90.0
89,8010.0,424.679146,90.0
90,8100.0,419.229056,90.0
91,8190.0,436.424817,90.0
92,8280.0,422.437483,90.0
93,8370.0,425.828703,90.0
94,8460.0,423.413832,90.0
95,8550.0,439.472969,90.0
96,8640.0,427.421336,90.0
97,8730.0,426.333473,90.0
98,8820.0,418.403631,90.0
99,8910.0,436.344026,90.0
100,9000.0,432.235766,90.0
101,9090.0,417.082229,90.0
102,9180.0,430.347456,90.0
103,9270.0,426.292638,90.0
104,9360.0,415.468207,90.0
105,9450.0,432.574873,90.0
106,9540.0,432.355554,90.0
107,9630.0,413.742268,90.0
108,9720.0,430.700465,90.0
109,9810.0,431.97485,90.0
110,9900.0,430.373356,90.0
111,9990.0,414.09215,90.0
112,10080.0,423.805514,90.0
113,10170.0,439.058197,90.0
114,10260.0,421.637142,90.0
115,10350.0,435.017735,90.0
116,10440.0,436.794767,90.0
117,10530.0,426.823565,90.0
118,10620.0,423.176266,90.0
119,10710.0,427.482695,90.0
120,10800.0,432.888751,90.0
121,10890.0,414.615816,90.0
122,10980.0,424.169355,90.0
123,11070.0,441.391297,90.0
124,11160.0,437.15531,90.0
125,11250.0,424.995634,90.0
126,11340.0,429.961487,90.0
127,11430.0,420.356951,90.0
128,11520.0,412.828825,90.0
129,11610.0,422.758403,90.0
130,11700.0,409.542951,90.0
131,11790.0,431.532782,90.0
132,11880.0,428.757433,90.0
133,11970.0,444.307182,90.0
134,12060.0,428.24037,90.0
135,12150.0,440.567878,90.0
136,12240.0,417.736505,90.0
137,12330.0,437.74704,90.0
138,12420.0,393.935022,90.0
139,12510.0,432.994999,90.0
140,12600.0,420.50033,90.0
141,12690.0,424.519293,90.0
142,12780.0,433.677623,90.0
143,12870.0,433.314895,90.0
144,12960.0,432.335227,90.0
145,13050.0,432.7381,90.0
146,13140.0,403.037187,90.0
147,13230.0,425.701229,90.0
148,13320.0,421.705915,90.0
149,13410.0,411.324486,90.0
150,13500.0,427.258967,90.0
151,13590.0,422.513133,90.0
152,13680.0,440.030619,90.0
153,13770.0,422.020317,90.0
154,13860.0,419.08552,90.0
155,13950.0,425.521533,90.0
156,14040.0,422.999801,90.0
157,14130.0,437.954409,90.0
158,14220.0,423.853229,90.0
159,14310.0,408.168343,90.0
160,14400.0,410.127156,90.0
161,14490.0,433.632974,90.0
162,14580.0,421.425009,90.0
163,14670.0,422.934603,90.0
164,14760.0,432.249968,90.0
165,14850.0,437.618522,90.0
166,14940.0,407.471793,90.0
167,15030.0,440.409035,90.0
168,15120.0,423.163063,90.0
169,15210.0,427.487991,90.0
170,15300.0,430.339897,90.0
171,15390.0,427.3838,90.0
172,15480.0,427.836735,90.0
173,15570.0,422.471312,90.0
174,15660.0,417.048577,90.0
175,15750.0,432.011184,90.0
176,15840.0,428.794785,90.0
177,15930.0,408.007902,90.0
178,16020.0,408.425831,90.0
179,16110.0,426.291473,90.0
180,16200.0,438.838529,90.0
181,16290.0,444.411525,90.0
182,16380.0,446.185253,90.0
183,16470.0,423.106401,90.0
184,16560.0,426.131429,90.0
185,16650.0,431.498245,90.0
186,16740.0,427.73749,90.0
187,16830.0,423.890441,90.0
188,16920.0,430.257914,90.0
189,17010.0,416.887785,90.0
190,17100.0,443.343915,90.0
191,17190.0,423.750554,90.0
192,17280.0,418.645309,90.0
193,17370.0,443.1694,90.0
194,17460.0,415.823731,90.0
195,17550.0,414.763263,90.0
196,17640.0,389.343402,90.0
197,17730.0,417.621889,90.0
198,17820.0,451.683029,90.0
199,17910.0,436.815762,90.0
200,18000.0,438.302074,90.0
201,18090.0,437.452944,90.0
202,18180.0,432.076293,90.0
203,18270.0,424.243306,90.0
204,18360.0,441.353585,90.0
205,18450.0,449.102528,90.0
206,18540.0,429.33989,90.0
207,18630.0,436.535181,90.0
208,18720.0,443.043656,90.0
209,18810.0,441.383127,90.0
210,18900.0,396.774609,90.0
211,18990.0,421.401794,90.0
212,19080.0,446.34352,90.0
213,19170.0,434.049549,90.0
214,19260.0,431.706188,90.0
215,19350.0,432.6492,90.0
216,19440.0,433.008348,90.0
217,19530.0,449.979444,90.0
218,19620.0,422.804239,90.0
219,19710.0,428.641008,90.0
220,19800.0,438.40131,90.0
221,19890.0,448.640592,90.0
222,19980.0,443.169908,90.0
223,20070.0,434.486598,90.0
224,20160.0,436.055563,90.0
225,20250.0,431.178438,90.0
226,20340.0,426.73252,90.0
227,20430.0,431.301196,90.0
228,20520.0,423.026549,90.0
229,20610.0,434.996207,90.0
230,20700.0,429.285433,90.0
231,20790.0,448.240837,90.0
232,20880.0,423.162264,90.0
233,20970.0,436.859038,90.0
234,21060.0,425.906271,90.0
235,21150.0,451.172258,90.0
236,21240.0,436.059517,90.0
237,21330.0,433.375406,90.0
238,21420.0,447.785354,90.0
239,21510.0,431.082497,90.0
240,21600.0,420.188903,90.0
241,21690.0,424.991332,90.0
242,21780.0,448.684928,90.0
243,21870.0,435.641144,90.0
244,21960.0,437.382702,90.0
245,22050.0,435.319044,90.0
246,22140.0,432.724891,90.0
247,22230.0,423.275771,90.0
248,22320.0,435.160228,90.0
249,22410.0,428.639811,90.0
250,22500.0,422.868826,90.0
251,22590.0,423.217306,90.0
252,22680.0,423.991849,90.0
253,22770.0,421.418812,90.0
254,22860.0,438.963682,90.0
255,22950.0,437.974121,90.0
256,23040.0,420.428978,90.0
257,23130.0,417.679494,90.0
258,23220.0,434.917314,90.0
259,23310.0,401.679202,90.0
