episode,timesteps,reward,length
1,90.0,399.387842,90.0
2,180.0,410.691015,90.0
3,270.0,428.799302,90.0
4,360.0,397.923023,90.0
5,450.0,417.071943,90.0
6,540.0,426.403829,90.0
7,630.0,406.291114,90.0
8,720.0,420.051007,90.0
9,810.0,418.01414,90.0
10,900.0,410.002466,90.0
11,990.0,420.980601,90.0
12,1080.0,408.137338,90.0
13,1170.0,417.329874,90.0
14,1260.0,424.146142,90.0
15,1350.0,409.390077,90.0
16,1440.0,420.0933,90.0
17,1530.0,415.524027,90.0
18,1620.0,400.262902,90.0
19,1710.0,410.730107,90.0
20,1800.0,393.364833,90.0
21,1890.0,385.807364,90.0
22,1980.0,409.145617,90.0
23,2070.0,419.403658,90.0
24,2160.0,395.829898,90.0
25,2250.0,400.986617,90.0
26,2340.0,407.535851,90.0
27,2430.0,392.546567,90.0
28,2520.0,415.442973,90.0
29,2610.0,413.452616,90.0
30,2700.0,415.06197,90.0
31,2790.0,404.3631,90.0
32,2880.0,423.65222,90.0
33,2970.0,414.621162,90.0
34,3060.0,404.337735,90.0
35,3150.0,406.882575,90.0
36,3240.0,410.599118,90.0
37,3330.0,401.630616,90.0
38,3420.0,415.562284,90.0
39,3510.0,418.950689,90.0
40,3600.0,404.13113,90.0
41,3690.0,407.59685,90.0
42,3780.0,413.072998,90.0
43,3870.0,412.540104,90.0
44,3960.0,391.78386,90.0
45,4050.0,416.740823,90.0
46,4140.0,397.797612,90.0
47,4230.0,405.477958,90.0
48,4320.0,415.441496,90.0
49,4410.0,398.246869,90.0
50,4500.0,431.172578,90.0
51,4590.0,425.450191,90.0
52,4680.0,435.587596,90.0
53,4770.0,422.398009,90.0
54,4860.0,359.686322,90.0
55,4950.0,417.927592,90.0
56,5040.0,426.044781,90.0
57,5130.0,415.243646,90.0
58,5220.0,432.341582,90.0
59,5310.0,414.934171,90.0
60,5400.0,417.612547,90.0
61,5490.0,401.874396,90.0
62,5580.0,380.696476,90.0
63,5670.0,407.509275,90.0
64,5760.0,430.742092,90.0
65,5850.0,413.443109,90.0
66,5940.0,437.239485,90.0
67,6030.0,412.769495,90.0
68,6120.0,382.530241,90.0
69,6210.0,439.115595,90.0
70,6300.0,422.413466,90.0
71,6390.0,429.818344,90.0
72,6480.0,434.589969,90.0
73,6570.0,434.186476,90.0
74,6660.0,393.971418,90.0
75,6750.0,440.888101,90.0
76,6840.0,406.587818,90.0
77,6930.0,416.101878,90.0
78,7020.0,422.023657,90.0
79,7110.0,435.441303,90.0
80,7200.0,429.618972,90.0
81,7290.0,378.814542,90.0
82,7380.0,413.399013,90.0
83,7470.0,436.048207,90.0
84,7560.0,389.202171,90.0
85,7650.0,332.647654,90.0
86,7740.0,427.240816,90.0
87,7830.0,433.258985,90.0
88,7920.0,437.13054,90.0
89,8010.0,346.08178,90.0
90,8100.0,440.753476,90.0
91,8190.0,429.063145,90.0
92,8242.0,182.247061,52.0
93,8332.0,432.811867,90.0
94,8422.0,428.914888,90.0
95,8512.0,427.825299,90.0
96,8602.0,440.604916,90.0
97,8692.0,427.75133,90.0
98,8782.0,428.147456,90.0
99,8872.0,437.760148,90.0
100,8962.0,432.265593,90.0
101,9052.0,432.392487,90.0
102,9142.0,436.477832,90.0
103,9203.0,153.947807,61.0
104,9260.0,223.591691,57.0
105,9350.0,378.019968,90.0
106,9440.0,433.063949,90.0
107,9530.0,411.072465,90.0
108,9620.0,431.922785,90.0
109,9710.0,376.382904,90.0
110,9800.0,382.899172,90.0
111,9890.0,374.824643,90.0
112,9980.0,383.723931,90.0
113,10070.0,340.126601,90.0
114,10160.0,377.719198,90.0
115,10250.0,405.755993,90.0
116,10304.0,105.941576,54.0
117,10373.0,247.01705,69.0
118,10463.0,437.687715,90.0
119,10553.0,427.403101,90.0
120,10630.0,231.36193,77.0
121,10703.0,279.623436,73.0
122,10748.0,148.482208,45.0
123,10824.0,195.64683,76.0
124,10886.0,173.471533,62.0
125,10976.0,428.275558,90.0
126,11038.0,243.935667,62.0
127,11128.0,414.570299,90.0
128,11202.0,245.514137,74.0
129,11292.0,370.332232,90.0
130,11382.0,415.552163,90.0
131,11447.0,219.966428,65.0
132,11506.0,213.642544,59.0
133,11591.0,315.242223,85.0
134,11681.0,415.581887,90.0
135,11771.0,393.494487,90.0
136,11861.0,399.044155,90.0
