run,learning_rate,gamma,n_steps,gae_lambda,ent_coef,vf_coef,max_grad_norm,mean_reward,std_reward,mean_episode_length,mean_unmet_ml,mean_energy_cost,failure_rate
1,0.0001,0.95,5,0.9,0.0,0.5,0.5,405.73290497973386,65.61602040233481,88.33333333333333,0.43576884178201586,26.548307115768868,0.16666666666666666
2,0.0003,0.97,10,0.95,0.005,0.5,0.5,371.7518017906354,65.26968973215568,84.5,0.2097885699758928,24.987028477861454,0.25
3,0.0005,0.99,20,0.98,0.01,0.6,0.5,223.37578913664015,95.90412524845861,57.75,0.8517205617531274,12.791534557301832,0.9166666666666666
4,0.001,0.99,10,0.95,0.01,0.4,0.7,351.5716814812374,23.990460096259238,88.33333333333333,0.18358355018771721,29.516892905591206,0.16666666666666666
5,5e-05,0.995,40,0.99,0.02,0.7,0.3,341.73068408712606,20.24624901363892,90.0,0.0,26.38271548931102,0.0
6,0.0002,0.9,5,0.85,0.0,0.5,1.0,338.23319831360504,105.67516950597044,86.16666666666667,1.384061605081123,23.878026747207176,0.5
7,0.0007,0.97,20,0.92,0.03,0.6,0.5,340.3894336203547,105.82543820528457,86.58333333333333,1.2595766351030664,24.298974891530538,0.4166666666666667
8,0.0001,0.999,40,0.99,0.015,0.8,0.3,332.2877271463223,19.131403912338328,90.0,0.0,26.21890097711813,0.0
9,0.0003,0.93,10,0.88,0.04,0.4,0.7,416.0486274984675,65.65938418113876,89.75,0.37608452308130164,27.75839921451302,0.08333333333333333
10,0.0008,0.995,20,0.97,0.005,0.7,0.4,331.3016695058829,115.93002663684753,88.33333333333333,1.6466451097496186,25.24322300883584,0.4166666666666667
