episode,timesteps,reward,length
1,90.0,417.338291,90.0
2,180.0,410.427317,90.0
3,270.0,408.642164,90.0
4,360.0,415.53016,90.0
5,450.0,406.807663,90.0
6,540.0,408.609937,90.0
7,630.0,415.560654,90.0
8,720.0,395.964852,90.0
9,810.0,411.544124,90.0
10,900.0,410.676989,90.0
11,990.0,409.76287,90.0
12,1080.0,405.066592,90.0
13,1170.0,409.864366,90.0
14,1260.0,408.612778,90.0
15,1350.0,418.049707,90.0
16,1440.0,411.648183,90.0
17,1530.0,412.918943,90.0
18,1620.0,410.033816,90.0
19,1710.0,410.975481,90.0
20,1800.0,398.314246,90.0
21,1890.0,401.184987,90.0
22,1980.0,407.844361,90.0
23,2070.0,413.210434,90.0
24,2160.0,397.717273,90.0
25,2250.0,413.943761,90.0
26,2340.0,415.481144,90.0
27,2430.0,384.548104,90.0
28,2520.0,413.984198,90.0
29,2610.0,402.691882,90.0
30,2700.0,411.61035,90.0
31,2790.0,406.092688,90.0
32,2880.0,393.517401,90.0
33,2970.0,382.756159,90.0
34,3060.0,408.182041,90.0
35,3150.0,410.373706,90.0
36,3240.0,375.293696,90.0
37,3330.0,388.33587,90.0
38,3420.0,401.022379,90.0
39,3510.0,403.251426,90.0
40,3600.0,403.461737,90.0
41,3690.0,416.028531,90.0
42,3780.0,409.159621,90.0
43,3870.0,415.354904,90.0
44,3960.0,410.339567,90.0
45,4050.0,402.078045,90.0
46,4140.0,432.530048,90.0
47,4230.0,400.406933,90.0
48,4320.0,416.066591,90.0
49,4410.0,395.387076,90.0
50,4500.0,412.859664,90.0
51,4590.0,415.054398,90.0
52,4680.0,422.138148,90.0
53,4770.0,418.615042,90.0
54,4860.0,410.618401,90.0
55,4950.0,409.296079,90.0
56,5040.0,411.323794,90.0
57,5130.0,404.960287,90.0
58,5220.0,407.495779,90.0
59,5310.0,408.800024,90.0
60,5400.0,414.349464,90.0
61,5490.0,409.52699,90.0
62,5580.0,404.713978,90.0
63,5670.0,416.334822,90.0
64,5760.0,426.9152,90.0
65,5850.0,417.169698,90.0
66,5940.0,418.020428,90.0
67,6030.0,405.086384,90.0
68,6120.0,406.54914,90.0
69,6210.0,419.571027,90.0
70,6300.0,402.687905,90.0
71,6390.0,388.807301,90.0
72,6480.0,399.619555,90.0
73,6570.0,412.955199,90.0
74,6660.0,421.784065,90.0
75,6750.0,403.755475,90.0
76,6840.0,407.459492,90.0
77,6930.0,415.703996,90.0
78,7020.0,417.986826,90.0
79,7110.0,411.819578,90.0
80,7200.0,419.421389,90.0
81,7290.0,417.627869,90.0
82,7380.0,415.639033,90.0
83,7470.0,420.818311,90.0
84,7560.0,412.730787,90.0
85,7650.0,420.333478,90.0
86,7740.0,415.202405,90.0
87,7830.0,393.011673,90.0
88,7920.0,425.24908,90.0
89,8010.0,402.543356,90.0
90,8100.0,412.240416,90.0
91,8190.0,408.123813,90.0
92,8280.0,415.301401,90.0
93,8370.0,411.648005,90.0
94,8460.0,416.779801,90.0
95,8550.0,404.009133,90.0
96,8640.0,418.526898,90.0
97,8730.0,411.90902,90.0
98,8820.0,425.611745,90.0
99,8910.0,403.225044,90.0
100,9000.0,419.49279,90.0
101,9090.0,408.486838,90.0
102,9180.0,420.965965,90.0
103,9270.0,416.407112,90.0
104,9360.0,403.141001,90.0
105,9450.0,416.048661,90.0
106,9540.0,405.990067,90.0
107,9630.0,426.781079,90.0
108,9720.0,424.348708,90.0
109,9810.0,419.947391,90.0
110,9900.0,408.034899,90.0
111,9990.0,425.858868,90.0
112,10080.0,411.838326,90.0
113,10170.0,415.588176,90.0
114,10260.0,418.223894,90.0
115,10350.0,419.520978,90.0
116,10440.0,423.123422,90.0
117,10530.0,412.934817,90.0
